geoid10,Sum_acres_res,Sum_acres_sf8_7,prct_sf,CNTY,TRACT,BG,Total_pop,White_non_Hisp,Black_non_Hisp,AIAN_non_Hisp,API_non_Hisp,Other_2_non_Hisp,Hispanic_or_Latino,Total_Minority,pWhite_non_Hisp,pBlack_non_Hisp,pAIAN_non_Hisp,pAPI_non_Hisp,pOther_2__non_Hisp,pHispanic_or_Latino,pTotal_Minority,White__Black,White_AIAN,White__API,White__Other_2_,White__Hispanic,White__Minority,Black__AIAN,Black__API,Black__Other_2_,Black__Hispanic,AIAN__Asian,AIAN__Other_2_,AIAN__Hispanic,API__Other_2_,API__Hispanic,Other_2___Hispanic
5.3033E+11,80.57944336,72.91271383,0.90485502,33,700,3,1450,1086,16,12,229,0,107,364,0.0004,0.0001,0.0004,0.0004,0,0.0003,0.0002,3.3822,-0.0981,0.0884,4.0923,1.4807,1.6385,-3.4803,-3.2938,0.7101,-1.9015,0.1865,4.1904,1.5788,4.0039,1.3923,-2.6116
5.3033E+11,80.17456513,72.57324664,0.9051904,33,700,4,668,316,13,48,199,78,14,352,0.0001,0.0001,0.0017,0.0003,0.0003,0,0.0002,0.6138,-15.5708,-2.2886,-1.9569,0.8491,-1.1821,-16.1846,-2.9024,-2.5707,0.2352,13.2822,13.6139,16.4198,0.3317,3.1376,2.8059
5.3033E+11,120.4309931,119.4188721,0.991595843,33,800,1,1254,855,72,0,296,30,1,399,0.0003,0.0003,0,0.0005,0.0001,0,0.0003,0.0265,3.2218,-1.9535,2.0112,3.1974,0.5321,3.1953,-1.98,1.9847,3.1709,-5.1753,-1.2106,-0.0244,3.9647,5.1509,1.1862
5.3033E+11,161.6432597,159.0598099,0.984017584,33,800,2,1585,1261,26,0,124,153,21,324,0.0005,0.0001,0,0.0002,0.0006,0.0001,0.0002,3.5979,4.7517,2.5837,-1.4225,4.2392,2.5676,1.1539,-1.0142,-5.0203,0.6413,-2.168,-6.1742,-0.5126,-4.0061,1.6555,5.6616
5.3033E+11,129.1359587,128.4508257,0.994694483,33,900,1,1138,806,61,0,209,29,33,332,0.0003,0.0003,0,0.0004,0.0001,0.0001,0.0002,0.33,3.0372,-0.617,1.8669,2.2317,0.7991,2.7072,-0.947,1.5369,1.9017,-3.6542,-1.1703,-0.8054,2.4839,2.8488,0.3648
5.3033E+11,123.5254413,121.5482373,0.983993548,33,900,2,1023,748,52,5,123,44,51,275,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.5109,1.0726,0.6681,1.043,1.5739,0.9648,0.5618,0.1572,0.5322,1.063,-0.4046,-0.0296,0.5012,0.375,0.9058,0.5308
5.3033E+11,91.72661111,78.95672725,0.860783215,33,1000,1,875,650,96,0,58,47,24,225,0.0002,0.0004,0,0.0001,0.0002,0.0001,0.0002,-1.8111,2.4493,1.4353,0.5527,1.8636,0.9326,4.2605,3.2464,2.3638,3.6747,-1.0141,-1.8966,-0.5858,-0.8826,0.4283,1.3109
5.3033E+11,144.1158766,136.5207139,0.947298223,33,1000,2,1161,795,56,4,161,140,5,366,0.0003,0.0002,0.0001,0.0003,0.0006,0,0.0002,0.5105,1.5989,0.1808,-2.6538,2.8737,0.5285,1.0885,-0.3297,-3.1643,2.3632,-1.4182,-4.2528,1.2748,-2.8346,2.6929,5.5275
5.3033E+11,124.7972241,110.6346958,0.886515678,33,1100,1,1333,909,7,0,302,48,67,424,0.0003,0,0,0.0005,0.0002,0.0002,0.0003,3.1147,3.4253,-1.8549,1.4883,1.79,0.5671,0.3107,-4.9696,-1.6263,-1.3246,-5.2802,-1.937,-1.6353,3.3432,3.6449,0.3017
5.3033E+11,137.2216422,128.9500177,0.939720701,33,1100,2,1247,1008,0,0,81,84,74,239,0.0004,0,0,0.0001,0.0003,0.0002,0.0002,3.7984,3.7984,2.3821,0.4086,1.9922,2.1872,0,-1.4162,-3.3897,-1.8061,-1.4162,-3.3897,-1.8061,-1.9735,-0.3899,1.5836
